"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 25 11:50:56 UTC 2025","Tue Mar 25 11:50:57 UTC 2025","111","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","getUserLastSessionDate_existingSession_shouldReturnCorrectDate","getUserLastSessionDate_existingSession_shouldReturnCorrectDate()",""
"passed","Tue Mar 25 11:50:57 UTC 2025","Tue Mar 25 11:50:57 UTC 2025","4","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","getUserStatus_validActivityTime_shouldReturnCorrectStatus","getUserStatus_validActivityTime_shouldReturnCorrectStatus(long, String) [3] 90, Active",""
"passed","Tue Mar 25 11:50:55 UTC 2025","Tue Mar 25 11:50:56 UTC 2025","1807","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","getUserLastSessionDate_noSessions_shouldReturnEmpty","getUserLastSessionDate_noSessions_shouldReturnEmpty()",""
"passed","Tue Mar 25 11:50:50 UTC 2025","Tue Mar 25 11:50:52 UTC 2025","2063","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","userRegistration_validUser_shouldRegisterSuccessfully","Тест регистрации пользователя",""
"passed","Tue Mar 25 11:50:53 UTC 2025","Tue Mar 25 11:50:53 UTC 2025","17","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","recordSession_nonExistingUser_shouldReturnError","Тест записи сессии для несуществующего пользователя",""
"passed","Tue Mar 25 11:50:53 UTC 2025","Tue Mar 25 11:50:53 UTC 2025","13","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","getTotalActivity_missingUserId_shouldReturnError","Тест получения активности без userId",""
"passed","Tue Mar 25 11:50:53 UTC 2025","Tue Mar 25 11:50:53 UTC 2025","14","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","getTotalActivity_nonExistingUser_shouldReturnError","Тест получения активности для несуществующего пользователя",""
"passed","Tue Mar 25 11:50:57 UTC 2025","Tue Mar 25 11:50:57 UTC 2025","4","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","getUserStatus_validActivityTime_shouldReturnCorrectStatus","getUserStatus_validActivityTime_shouldReturnCorrectStatus(long, String) [4] 120, Highly active",""
"passed","Tue Mar 25 11:50:57 UTC 2025","Tue Mar 25 11:50:57 UTC 2025","4","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","getUserStatus_validActivityTime_shouldReturnCorrectStatus","getUserStatus_validActivityTime_shouldReturnCorrectStatus(long, String) [5] 1000, Highly active",""
"passed","Tue Mar 25 11:50:55 UTC 2025","Tue Mar 25 11:50:55 UTC 2025","13","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","getMonthlyActivity_invalidFormatParam_shouldReturnError","Тест получения месячной активности с некорректным форматом параметра",""
