"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 23 19:56:25 UTC 2025","Sun Mar 23 19:56:25 UTC 2025","15","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","getTotalActivity_nonExistingUser_shouldReturnError","Тест получения активности для несуществующего пользователя",""
"passed","Sun Mar 23 19:56:25 UTC 2025","Sun Mar 23 19:56:25 UTC 2025","37","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","userRegistration_existingUser_shouldReturnError","Тест повторной регистрации пользователя",""
"passed","Sun Mar 23 19:56:29 UTC 2025","Sun Mar 23 19:56:29 UTC 2025","66","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","getUserStatus_validActivityTime_shouldReturnCorrectStatus","getUserStatus_validActivityTime_shouldReturnCorrectStatus(long, String) [1] 30, Inactive",""
"passed","Sun Mar 23 19:56:29 UTC 2025","Sun Mar 23 19:56:29 UTC 2025","7","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","getUserStatus_validActivityTime_shouldReturnCorrectStatus","getUserStatus_validActivityTime_shouldReturnCorrectStatus(long, String) [4] 120, Highly active",""
"passed","Sun Mar 23 19:56:25 UTC 2025","Sun Mar 23 19:56:25 UTC 2025","20","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","recordSession_validDates_shouldRecordSession","Тест записи сессии с корректными датами",""
"passed","Sun Mar 23 19:56:27 UTC 2025","Sun Mar 23 19:56:29 UTC 2025","1613","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","getUserLastSessionDate_noSessions_shouldReturnEmpty","getUserLastSessionDate_noSessions_shouldReturnEmpty()",""
"passed","Sun Mar 23 19:56:25 UTC 2025","Sun Mar 23 19:56:25 UTC 2025","38","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","getTotalActivity_validUser_shouldReturnTotalActivity","Тест получения общего времени активности",""
"passed","Sun Mar 23 19:56:25 UTC 2025","Sun Mar 23 19:56:25 UTC 2025","18","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","recordSession_missingParams_shouldReturnError","Тест записи сессии с отсутствующими параметрами",""
"passed","Sun Mar 23 19:56:29 UTC 2025","Sun Mar 23 19:56:29 UTC 2025","5","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","getUserStatus_validActivityTime_shouldReturnCorrectStatus","getUserStatus_validActivityTime_shouldReturnCorrectStatus(long, String) [3] 90, Active",""
"passed","Sun Mar 23 19:56:25 UTC 2025","Sun Mar 23 19:56:25 UTC 2025","19","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","recordSession_invalidFormatDates_shouldReturnError","Тест записи сессии с датами некорректного формата",""
"passed","Sun Mar 23 19:56:27 UTC 2025","Sun Mar 23 19:56:27 UTC 2025","22","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","getMonthlyActivity_invalidFormatParam_shouldReturnError","Тест получения месячной активности с некорректным форматом параметра",""
"passed","Sun Mar 23 19:56:26 UTC 2025","Sun Mar 23 19:56:26 UTC 2025","14","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","findInactiveUsers_missingDaysParam_shouldReturnError","Тест поиска неактивных пользователей с отсутствующим параметром",""
"passed","Sun Mar 23 19:56:26 UTC 2025","Sun Mar 23 19:56:26 UTC 2025","13","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","findInactiveUsers_invalidFormatDaysParam_shouldReturnError","Тест поиска неактивных пользователей с некорректным форматом параметров",""
"passed","Sun Mar 23 19:56:25 UTC 2025","Sun Mar 23 19:56:25 UTC 2025","18","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","recordSession_nonExistingUser_shouldReturnError","Тест записи сессии для несуществующего пользователя",""
"passed","Sun Mar 23 19:56:27 UTC 2025","Sun Mar 23 19:56:27 UTC 2025","29","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","getMonthlyActivity_missingParams_shouldReturnError","Тест получения месячной активности с отсутствующими параметрами",""
